"Name of Researcher","Name of Institution","Name of Project","Type","Year","Reference","Links"
"SFAD","Scottish Families Affected by Alcohol and Drugs","Ask the family! Family perspectives on whole family support and family inclusive practice (report and virtual exhibition)","Report","2021","Scottish Families Affected by Alcohol & Drugs (2021). Ask the Family! Family perspectives on whole family support and family inclusive practice","https://www.sfad.org.uk/content/uploads/2021/04/Ask-The-Family-Report-March-2021.pdf"
"SFAD","Scottish Families Affected by Alcohol and Drugs","‘There’s only so much one person can do’ – A ‘deep dive’ of family support available in Scotland","Report","2022","Scottish Families Affected by Alcohol & Drugs (2022). 'There's only so much one person can do'. A 'Deep Dive' of family support available in Scotland.","https://www.sfad.org.uk/content/uploads/2022/05/Deep-Dive-Report-2022.pdf"
"SFAD","Scottish Families Affected by Alcohol and Drugs","If it wasn’t for routes: Reflections on the 3 years of our national young persons’ demonstration project","Report","2022","Scottish Families Affected by Alcohol & Drugs. (2022). 'If it wasn't for Routes': National demonstration project 2019-2022.","https://www.sfad.org.uk/content/uploads/2023/01/Routes-Report-2022.pdf"
"SFAD","Scottish Families Affected by Alcohol and Drugs","What about families?! Reflections and recommendations for the Scottish Drugs Death Task Force 2019-2022 – A report by The Family Reference Group","Report","2022","Scottish Families Affected by Alcohol & Drugs. (2022). What about Families?!' Reflections and recommendations for the Scottish Drug Death Task Force.","https://www.sfad.org.uk/content/uploads/2022/07/What-About-Families-Family-Reference-Group-Report-July-2022-FINAL-PUBLISHED.pdf"
"Alexander Baldacchino","St Andrews University","Engagement in an e-Health tool (ORION) predicts opioid-dependent patient likelihood of behavioural change","Article","2017","Humphris, G.M., Carra, G., Frisher, M., Neufeind, J., Cecil, J.E., Scherbaum, N., Crom, I., & Baldacchino, A. (2017). Engagement in an e-Health Tool (ORION) predicts opioid-dependent patient likelihood of behavious change. Heroin Addiction and Related Clinical Problems, 19(5), pp. 35-44.","https://research-repository.st-andrews.ac.uk/handle/10023/10307"
"Alexander Baldacchino","St Andrews University","Neuropsychological functioning and chronic methadone use: a systematic review and meta-analysis","Article","2017","Baldacchino, A., Armanyous, M., Balfour, D.J.K, Humphris, G, & Matthews, K. (2017). Neuropsychological functioning and chronic methadone use: A systematic review and meta-analusis. Neuroscience & Biobehavioral Reviews 73. pp. 23-38. doi: https://doi.org/10.1016/j.neubiorev.2016.11.008","https://www.sciencedirect.com/science/article/abs/pii/S0149763416302573?via%3Dihub"
"Alexander Baldacchino","St Andrews University","Staff regard towards working with patients with co-morbid depression and substance misuse: an exploratory study","Article","2017","Nutt, R., Gilchrist, G., Marsa-Sambola, F., & Baldacchnio, A. (2017). Staff regard towards working with patients with co-morbid depression and substance misuse: an exploratory study'. Heroin and Related Clinical problems 19(2), pp. 5-16.","https://risweb.st-andrews.ac.uk/portal/en/researchoutput/staff-regard-towards-working-with-patients-with-comorbid-depression-and-substance-misuse(06a67bf9-0979-4bee-bd61-d204e49cf051).htmlhttps:/research-repository.st-andrews.ac.uk/handle/10023/23650"
"Alexander Baldacchino","St Andrews University","Association of opioid prescribing practices with chronic pain and benzodiazepine co-prescription: a primary care data linkage study","Article","2018","Torrence, N., Mansoor,R., Wang,H., Gilbert, S., Macfarlane, G.J., Serpell, M., Baldacchino, A., Hales, T.G., Donnan, P., Wyper, G., Smith,B.H.,Colvin,L (2018). Opioid prescribing practices and association with chronic pain, using co-prescribing of benzodiazepines as an indicator of problem use: a national population based study. British Journal of Anaesthesia 120(6):1345-1355.","https://risweb.st-andrews.ac.uk/portal/en/researchoutput/association-of-opioid-prescribing-practices-with-chronic-pain-and-benzodiazepine-coprescription(567f4ce1-369c-4574-88e9-0e1d026f1326).html"
"Alexander Baldacchino","St Andrews University","Compulsivity in opioid dependence","Article","2018","Tolomeo, S., Matthews, K., Steele, D., & Baldacchnio, A. (2018). Compulsivity in opioid dependence. Progress in Neuro-Psychopharmacology and Biological Psychiatry. 81. pp.333-339. doi: https://www.sciencedirect.com/science/article/abs/pii/S0278584617303913?via%3Dihub","https://www.sciencedirect.com/science/article/abs/pii/S0278584617303913?via%3Dihub"
"Alexander Baldacchino","St Andrews University","Is (poly-) substance use associated with impaired inhibitory control? A mega-analysis controlling for confounders","Article","2019","Liu, Y., van den Wildenberg W.P.M., de Graaf, Y., Ames, S.L., Baldacchino, A., et al. (2019). Is (poly-) substance use assicated with impaired inhibitory control? A mega-analysis controlling for confounders. Neuroscience & Biobehavioral Reviews, 105, pp. 288-304.","https://pubmed.ncbi.nlm.nih.gov/31319124/"
"Alexander Baldacchino","St Andrews University","A roadmap for integrating neuroscience into addiction treatment: a consensus of the neuroscience interest group of the international society of addiction medicine","Article","2019","Verdejio-Garcia, A., Lorenzetti, V., Manning, V., Piercy, H., Bruno, R., Hester, R., Pennington, D., Tolomeo, S., Arunogiri, S., Bates, M.E., Bowden-Jones, H., Campanella, S., Daughters, S.B., Kouimtsidis, C., Lubman, D.I., Meyerhoff, D.J., Moeller, S.J., Paulus, M., Baldacchino, A., & Ekhtiari, H. (2019). A roadmap for integrating neurosceince into addiction treatment: a consensus of the Neuroscience Interest Group of the International Society of Addiction Medicine. Frontiers in Psychiatry, 10(877), pp. 1-23.","https://research-repository.st-andrews.ac.uk/handle/10023/19227"
"Alexander Baldacchino","St Andrews University","Effects of opioid dependence on visuospatial memory and its associations with depression and anxiety","Article","2019","Tolomeo, S., Davey, F., Steele, D. & Baldacchino, A. M (2019). Effects of opioid dependence on visuospatial memory and its associations with depression and anxiety.  Frontiers in Clinical Neuroscience 23:10:743. doi: 10.3389/fpsyt.2019.00743.","https://www.frontiersin.org/articles/10.3389/fpsyt.2019.00743/full"
"Alexander Baldacchino","St Andrews University","Profiles of visuospatial memory dysfunction in opioid exposed and dependent populations","Article","2019","Baldacchino, A., Tolomeo, S., Balfour, D., & Matthews, K. (2019). Profiles of visuospatial memory dysfunction in opioid-exposed and dependent populations. Psychological Medicine, 49(7), 1174-1184. doi:10.1017/S0033291718003318","https://www.cambridge.org/core/journals/psychological-medicine/article/abs/profiles-of-visuospatial-memory-dysfunction-in-opioidexposed-and-dependent-populations/21D557A4FDF4898D50FC98738CB468A5"
"Alexander Baldacchino","St Andrews University","Neurocognitive consequences of chronic cannabis use: a systematic review and meta-analysis","Article","2020","Figueiredo, P.R., Tolomeo, S., Steele, D., & Baldacchino, A. (2020). Neurocognitive consequences of chronic cannabis use: A systematic review and meta-analysis. Neuroscience & Biobehavioural Reviews, 108. pp. 358-369","https://www.sciencedirect.com/science/article/abs/pii/S0149763419307328"
"Alexander Baldacchino","St Andrews University","Psychological impact of the acute COVID-19 period on patients with aubstance use disorders: ae are all in this together","Article","2020","DeJong, C. A. J., DeJong Verhagen, J. G., Pols, R., Verbrugge, C. A. G., & Baldacchino, A. (2020). Psychological Impact of the Acute COVID-19 Period on Patients With Substance Use Disorders: We are all in this Together. Basic and clinical neuroscience, 11(2), 207-216. https://doi.org/10.32598/bcn.11.covid19.2543.1","https://doi.org/10.32598/bcn.11.covid19.2543.1"
"Alexander Baldacchino","St Andrews University","COVID-19 and substance use disorder: Study protocol for the international society of addiction medicine practice and policy interest group global survey","Article","2020","Baldacchino, A., Radfar, S.R., De Jong, C., Rafei, P., Yunesian, M., et al. (2020). COVID-19 and Substance Use Disorder: Study Protocol for the International Society of Addiction Medicine Practice and Policy Interest Group Global Survey. Basic and Clinical Neuroscience, 11(2), pp. 155-162 doi:10.32598/bcn.11.covid19.2545.1.","https://pubmed.ncbi.nlm.nih.gov/32855774/"
"Alexander Baldacchino","St Andrews University","An international consultation on case reports in addiction medicine","Article","2021","Qurishi, R., Drenth, J.P.J., Baldacchino, A., Broers, B., Buwalda, V.A.J., & De Jong, C.A.J.  (2021) An international consultation on case reports in addiction medicine, Substance Abuse, 42:4, 476-482, DOI: 10.1080/08897077.2021.1900985","https://risweb.st-andrews.ac.uk/portal/en/researchoutput/an-international-consultation-on-case-reports-in-addiction-medicine(6b2fa93e-6d96-4ae6-8064-ea2a4d0172fe).html"
"Alexander Baldacchino","St Andrews University","Association between chronic psychoactive substances use and systemic inflammation: a systematic review and meta-analysis","Article","2021","Doggui, R., Elsawy, W., Conti, A.A., & Baldacchino, A. (2021). Association between chronic psychoactive substances use and systemic inflammation: a systematic review and meta-analysis. Neuroscience and Biobehavioural Reviews, 125, pp. 208-220.","https://risweb.st-andrews.ac.uk/portal/en/researchoutput/association-between-chronic-psychoactive-substances-use-and-systemic-inflammation(8b9161bf-5273-49fa-9efe-6ced61b57970).html"
"Alexander Baldacchino","St Andrews University","Baseline executive functions and receiving cognitive rehabilitation can predict treatment response in people with opioid use disorder","Article","2021","Rezapour, T., Hatami, J., Farhoudian, A., Noroozi, A., Daneshmand, R., Sofuoglu, M., Baldacchino, A., & Ekhtiari, H. (2021). Baseline executive functions and receiving cognitive rehabilitation can predict treatment response in people with opioid use disorder. Journal of substance abuse treatment, 131, 108558. https://doi.org/10.1016/j.jsat.2021.108558","https://risweb.st-andrews.ac.uk/portal/en/researchoutput/baseline-executive-functions-and-receiving-cognitive-rehabilitation-can-predict-treatment-response-in-people-with-opioid-use-disorder(1bd73faa-9aee-4f0d-9c53-e7eb6b16a865).html"
"Alexander Baldacchino","St Andrews University","Chronic heroin use disorder and the brain: current evidence and future implications","Article","2021","Tolomeo, S., Steele, D., Ekhtiari, H., & Baldacchino, A. (2021). Chronic heroin use disoder and the brain: Current evidence and future implications. Progress in Neuro-Psychopharmacology and Biological Psychiatry. 111.","https://www.sciencedirect.com/science/article/abs/pii/S0278584620304644?via%3Dihub"
"Alexander Baldacchino","St Andrews University","Compulsivity and impulsivity in opioid dependence","Article","2021","Tolomeo, S., Davey, F., Steele, D., & Baldacchino, A. (2021). Compulsivity and impulsivity in opioid dependence. Drug and alcohol dependence. 229.","https://www.sciencedirect.com/science/article/abs/pii/S0376871621005135?via%3Dihub"
"Alexander Baldacchino","St Andrews University","Tramadol, Captagon, and Khat use in the eastern mediterranean region: opening pandora's box","Article","2021","Mohaddes Ardabili, H., Akbari, A., Rafei, P., Butner, J., Khan, R., Khazaal, Y., Arab, A.Z., Qazizada, M.R., Al-Ansari, B., & Baldacchino, A. (2021). Tramadol, Captagon, and Khat Use in the Eastern Mediterranean Region: Opening Pandora's Box. British Journal of Psychiatry International (BJPsychInt) doi: 10.1192/bji.2021.53.","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9540563/"
"Alexander Baldacchino","St Andrews University","Relationship between cardiovascular disease pathology and fatal opioid and other sedative overdose : a post-mortem investigation and pilot study","Article","2021","Arab, A.Z., Conti, A.A., Davey, F., Khan, F., & Baldacchino, A. (2021). Relationship between cardiovascular disease pathology and fatal opioid and other sedative overdose: a post-mortem investigation and pilot study. Frontiers in Pharmacology, 12.","https://research-repository.st-andrews.ac.uk/handle/10023/24284"
"Alexander Baldacchino","St Andrews University","Reorganization of substance use treatment and harm reduction services during the COVID-19 pandemic: a global survey","Article","2021","Radfar, S.R., De Jong, C.A.J., Farhoudian, A., Ebrahimi, M., Rafei, P., Vahidi, M., Yunesian, M., Kouimtsidis, C., Arunogiri, S., Massah, O., Deylamizadeh, A., Brady, K.T., Busse, A., Potenza, M.N., Ekhtiari, H., & Baldacchino, A. (2021). Reorganization of substance use treatment and harm reduction serbices during the COVID-19 pandemic: a global survey. Frontiers in Psychiatry, 12.","https://risweb.st-andrews.ac.uk/portal/en/researchoutput/reorganization-of-substance-use-treatment-and-harm-reduction-services-during-the-covid19-pandemic(6b9f5ef7-fdc2-42c6-965f-f972bff195d9).html"
"Alexander Baldacchino","St Andrews University","Substance abuse by anaesthesiologists, shouldn’t we do more?","Article","2021","Practice, F., & Baldacchino, A. (2021) Substance abuse by anaesthesiologists, shouldn’t we do more?. European Journal of Anaesthesiology 38(7):p 682-683, July 2021. | DOI: 10.1097/EJA.0000000000001466","https://risweb.st-andrews.ac.uk/portal/en/researchoutput/substance-abuse-by-anaesthesiologists-shouldnt-we-do-more(ecb493c3-c4b9-4c4e-acc2-7e941db4448a).html"
"Alexander Baldacchino","St Andrews University","Understanding fatal and non-fatal drug overdose risk factors: overdose risk questionnaire pilot study-validation","Article","2021","Doggui, R., Adib, K., & Baldacchino, A. (2021). Understanding Fatal and Non-Fatal Drug Overdose Risk Factors: Overdose Risk Questionnaire Pilot Study-Validation. Frontiers in pharmacology, 12, 693673. https://doi.org/10.3389/fphar.2021.693673","https://doi.org/10.3389/fphar.2021.693673"
"Alexander Baldacchino","St Andrews University","Protracted abstinence in males with an opioid use disorder : partial recovery of nucleus accumbens function","Article","2022","Tolomeo, S., Baldacchino, A., Volkow, N., & Steele, D. (2022). Protracted abstinence in males with an opioid use disorder: partial recovery of nucleus accumbens function. Translational Psychiatry, 12, pp.81.","https://research-repository.st-andrews.ac.uk/handle/10023/24961"
"Alexander Baldacchino","St Andrews University","Substance use policy and practice in the COVID-19 pandemic: Learning from early pandemic responses through internationally comparative field data.","Article","2023","Aronowitz, S.V., Carroll, J.J., Hansen, H., Jauffret-Roustide, M., Parker, C.M., Suhail-Sindhu, S., Albizu-Garcia, C., Alegria, M., Arrendondo, J., Baldacchino, A., et al. (2022). Substance use policy and practice in the COVID-19 pandemic: Learning from early pandemic responses through internationall comparative field data. Global Public Health, 17(12), pp. 3654-3669.","https://www.tandfonline.com/doi/abs/10.1080/17441692.2022.2129720?journalCode=rgph20"
"Alexander Baldacchino","St Andrews University","Brain and cognition for addiction medicine: from prevention to recovery","Editorial","2020","Ekhtiari, H., Verdejo-Garcia, A., Moeller, S.J., Zare-Bidoky, M., Baldacchino, A., & Paulus, M. (2020). Editorial: Brian and cognition for addiction medicine: from prevention to recovery. Frontiers in Psychiatry, 11.","https://research-repository.st-andrews.ac.uk/handle/10023/21131"
"Alexander Baldacchino","St Andrews University","COVID-19 and substance use disorders: Recommendations to a comprehensive healthcare response. An international society of addiction medicine practice and policy interest group position paper","Report","2020","Farhoudian, A., Baldacchino, A., Clark, N., Gerra, G., Ekhtiari, H., Dom, G., et al. (2020). COVID-19 and Substance Use Disorders: Recommendations to a Comprehensive Healthcare Response. An International Society of Addiction Medicine (ISAM) Practice and Policy Interest Group Position Paper. Basic and Clinical Neuroscience, 11(2), pp. 133-150.","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7368103/"
"Alexander Baldacchino","St Andrews University","TMAT 1 and 2 studies: Delivering medication assisted treatment through telehealth. Evidence and protocol design","Research project","2020-2021","https://medicine.st-andrews.ac.uk/digitas/project-tmat/","https://medicine.st-andrews.ac.uk/digitas/project-tmat/"
"Alexander Baldacchino","St Andrews University","ONLINE ENGAGEMENT (OLE): Increasing engagement of opioid users in treatment through online consultations.","Research project","2022-2024","https://medicine.st-andrews.ac.uk/digitas/project-ole/","https://medicine.st-andrews.ac.uk/digitas/project-ole/"
"Alexander Baldacchino","St Andrews University","Co-producing a framework for digital healthcare in addiction services DADE (Digital AdDictions sErvices)","Research project","2020-2021","https://medicine.st-andrews.ac.uk/digitas/project-dade/","https://medicine.st-andrews.ac.uk/digitas/project-dade/"
"Alexander Baldacchino","St Andrews University","TMAT 3 Study: Delivering medication addisted treatment through telehealth","Research project","2021-2024","https://medicine.st-andrews.ac.uk/digitas/project-ole/","https://medicine.st-andrews.ac.uk/digitas/project-ole/"
"Alexander Baldacchino","St Andrews University","Evolving experiences and patterns; drug consumption in Fife","Research project",NA,NA,NA
"Alexander Baldacchino","St Andrews University","Craving in opioid use disorder: from neurobiology to clinical practice","Review","2019","Kakko, J., Alho, H., Baldacchino, A., et al. (2019). Craving in opioid use disorder: from neurobiology to clinical practice. Frontiers in Psychiatry, 10, pp. 592.","https://risweb.st-andrews.ac.uk/portal/en/researchoutput/craving-in-opioid-use-disorder(82244097-a3be-4935-8369-8a8811a1fab9).html"
"Hamid Baradaran","St Andrews University","Validity of self-reported substance use: research setting versus primary health care setting","Article","2021","Khalili, P., Nadimi, A. E., Baradaran, H. R., Janani, L., Rahimi-Movaghar, A., Rajabi, Z., Rahmani, A., Hojati, Z., Khalagi, K., & Motevalian, S. A. (2021). Validity of self-reported substance use: research setting versus primary health care setting. Substance abuse treatment, prevention, and policy, 16(1), 66. https://doi.org/10.1186/s13011-021-00398-3  ","https://substanceabusepolicy.biomedcentral.com/articles/10.1186/s13011-021-00398-3"
"Richard Irvine","St Andrews University","Sustainable futures: understanding drug use in the context of energy transitions","Research project","October 2021 to July 2022","https://risweb.st-andrews.ac.uk/portal/en/projects/sustainable-futures-understanding-drug-use-in-the-context-of-energy-transitions(6efa20e0-adb4-4030-a7d8-49e2189653dc).html","https://eur03.safelinks.protection.outlook.com/?url=https%3A%2F%2Frisweb.st-andrews.ac.uk%2Fportal%2Fen%2Fprojects%2Fsustainable-futures-understanding-drug-use-in-the-context-of-energy-transitions(6efa20e0-adb4-4030-a7d8-49e2189653dc).html&data=05%7C01%7Ch.c.hale%40stir.ac.uk%7C3b0459d9b7604889474008db6da0bf7e%7C4e8d09f7cc794ccb9149a4238dd17422%7C0%7C0%7C638224309392264110%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000%7C%7C%7C&sdata=D%2B1KqGUGHxOrHiSeMEgXch0jV64GBP70vAnUFrU0Tzw%3D&reserved=0"
"Joseph Tay Wee Teck","St Andrews University","Tracking internet interest in anabolic-androgenic steroids using google trends","Article","2018","Tay Wee Teck, J., & McCann, M. (2018). Tracking internet interest in anabolic-androgenic steroids using Goolge Trends. International Journal of Drug Policy, 51, pp. 52-55.","https://www.sciencedirect.com/science/article/pii/S0955395917303213?via%3Dihub"
"Joseph Tay Wee Teck","St Andrews University","Using microdosing to induct patients into a long-acting injectable buprenorphine depot medication in low threshold community settings: a case study","Article","2021","Tay Wee Teck, J., Baldacchino, A., Gibson, L., & Lafferty, C. (2021). Using microdosing to induct patients into a long-acting injectable buprenorphine depot medication in low threshold community settings: A case study. Frontiers in Pharmacology, 12.","https://risweb.st-andrews.ac.uk/portal/en/researchoutput/using-microdosing-to-induct-patients-into-a-longacting-injectable-buprenorphine-depot-medication-in-low-threshold-community-settings(ea983829-f07c-49df-8b9b-a52ff5aaa04f).html"
"Joseph Tay Wee Teck","St Andrews University","Why do different forms of knowledge matter in evidence-based drug policy?","Editorial","2022","Tay Wee Teck, J., & Baldacchino, A. (2022). Why do different forms of knowledge matter in evidence-based drug policy? American Journal of Public Health, 112.","https://ajph.aphapublications.org/doi/full/10.2105/AJPH.2022.306818"
"Anna Ross","University of Edinburgh","Stigma, reflexivity and the drug researcher’s drug use","Article","2020","Ross, A., Potter, G.R., Barratt, M.J., & Aldridge, J.A. (2020). 'Coming Out': Stigma, reflexivity and the drug researcher's drug use. Contemporary Drug Problems, 47(4), pp. 268-285.","https://www.research.ed.ac.uk/en/publications/coming-out-stigma-reflexivity-and-the-drug-researchers-drug-use"
"Anna Ross","University of Edinburgh","Doing drugs policy: Narratives of participation in the development of a critical drug theory","PhD","2020 (year completed)","Ross, A. (2020). Doing Drugs Policy: Narratives of participation in the development of a critical drug theory. PhD Thesis.","https://era.ed.ac.uk/bitstream/handle/1842/37955/Ross2020.pdf?sequence=1&isAllowed=y"
"Rajiv Shah","Thomson Group, Glasgow","Characterisation of a hepatitis C virus subtype 2a cluster in Scottish PWID with a suboptimal response to glecaprevir/pibrentasvir","Article","2022","Shah, R., Barclay, S. T., Peters, E. S., Fox, R., Gunson, R., Bradley-Stewart, A., Shepherd, S. J., MacLean, A., Tong, L., van Vliet, V. J. E., Ngan Chiu Bong, M., Filipe, A., Thomson, E. C., & Davis, C. (2022). Characterisation of a Hepatitis C Virus Subtype 2a Cluster in Scottish PWID with a Suboptimal Response to Glecaprevir/Pibrentasvir Treatment. Viruses, 14(8). https://doi.org/10.3390/v14081678","https://doi.org/10.3390/v14081678"
"Hadah Alkhaldi","University of Aberdeen","PhD: Benzodiazepines and Z-drugs prescribing pattern over the time among the children of the nineteen fifties cohort","Article","2022","Alkhaldi, H., Jones, G., Matheson, C., & Mclay, J. (2022). Benzodiazepines and Z-drugs Prescriptions Trends over time among the Aberdeen Children of the 1950s and Associated Characteristics with Chronic prescriptions. Int J Popul Data Sci. 2022 Mar 1;7(2):1741. doi: 10.23889/ijpds.v7i2.1742. PMCID: PMC8902509.","https://ijpds.org/article/view/1742"
"Niamh Fingleton","University of Aberdeen","You are still a human being, you still have needs, you still have wants”: a qualitative exploration of patients’ experiences and views of HIV support","Article","2018","Fingleton N., Watson M., & Matheson C. (2018) You are still a human being, you still have needs, you still have wants”: a qualitative exploration of patients’ experiences and views of HIV support. J Public Health, 40(4), https://doi.org/10.1093/pubmed/fdy061.","https://pubmed.ncbi.nlm.nih.gov/29608695/"
"Niamh Fingleton","University of Aberdeen","Management of dependence on non-prescription medicines and barriers to treatment provision: An exploratory mixed methods study using behavioural theory","Article","2019","Fingleton, N., Duncan, E., Watson, M., & Matheson, C. (2019). Specialist Clinicians’ Management of Dependence on Non-Prescription Medicines and Barriers to Treatment Provision: An Exploratory Mixed Methods Study Using Behavioural Theory. Pharmacy, 7, 25. https://doi.org/10.3390/pharmacy7010025","https://www.mdpi.com/2226-4787/7/1/25"
"Niamh Fingleton","University of Aberdeen","Specialist clinicians’ management of dependence on non-prescription medicines: a mixed methods study using behavioural theory","Article","2019","Fingleton N., Duncan E., Watson M., Matheson C. (2019) Specialist clinicians’ management of dependence on non-prescription medicines: a mixed methods study using behavioural theory. Pharmacy; doi: 10.3390/pharmacy7010025.; https://www.mdpi.com/2226-4787/7/1/25/pdf","https://www.mdpi.com/2226-4787/7/1/25/pdf"
"Sheila Bird","University of Cambridge/Strathclyde","External data required timely response by the trial steering-data monitoring committee for the NALoxone InVEstigation (N-ALIVE) pilot trial","Article","2017","Bird, S.M., Strang, J., Ashby, D., Podmore, J., Robertson, J.R., Welch, S., Meade, A.M., & Parmar, M.K.B. (2017). External data required timely response by the Trial Steering-Data Monitoring Committee for the NALoxone InVEstigation (N-ALIVE) pilot trial. Contemporary Clinical Trials Communications. 5, pp. 100-106.","https://www.sciencedirect.com/science/article/pii/S2451865416300709?via%3Dihub"
"Sheila Bird","University of Cambridge/Strathclyde","Ageing opioid users' increased risk of methadone-specific death in the UK","Article","2018","Pierce, M., Millar, T., Robertson, J. R., & Bird, S. M. (2018). Ageing opioid users' increased risk of methadone-specific death in the UK. International Journal of Drug Policy, 55, 121-127. https://doi.org/10.1016/j.drugpo.2018.02.005","https://doi.org/10.1016/j.drugpo.2018.02.005"
"Abdulmalik Arab","University of Dundee","Relationship between cardiovascular disease pathology and fatal opioid and other sedative overdose: a post-mortem investigation and pilot study","Article","2021","(PDF) Relationship Between Cardiovascular Disease Pathology and Fatal Opioid and Other Sedative Overdose: A Post-Mortem Investigation and Pilot Study (researchgate.net)","https://www.researchgate.net/publication/355927954_Relationship_Between_Cardiovascular_Disease_Pathology_and_Fatal_Opioid_and_Other_Sedative_Overdose_A_Post-Mortem_Investigation_and_Pilot_Study"
"Christopher Byrne","University of Dundee","Reaching methadone users attending community pharmacies with HCV: an international cluster randomised controlled trial protocol (REACH HCV).","Article","2020","Byrne, C., Radley, A., Inglis, S.K., et al.(2020). Reaching methadone users attending community pharmacies with HCV: an international cluster randomised controlled trial protocol (REACH HCV). BMJ Open, 10.",NA
"Christopher Byrne","University of Dundee","Toward microelimination of hepatitis C and HIV coinfection in NHS Tayside, Scotland: Real-world outcomes. ","Article","2020","Byrne, C., Robinson, E., Rae, N., & Dillon, J. F. (2020). Toward microelimination of hepatitis C and HIV coinfection in NHS Tayside, Scotland: Real-world outcomes. Health science reports, 3(4), e191. https://doi.org/10.1002/hsr2.191","https://doi.org/10.1002/hsr2.191"
"Christopher Byrne","University of Dundee","Decentralisation of hepatitis C virus care into community settings: a key approach on the path to elimination","Article","2022","Brennan, P.N., Byrne, C.J. and Dillon, J.F. (2022), Decentralisation of hepatitis C virus care into community settings: A key approach on the path to elimination. Liver Int, 42: 1222-1224. https://doi.org/10.1111/liv.15229","https://doi.org/10.1111/liv.15229"
"Christopher Byrne","University of Dundee","Drug network identification predicts injecting risk behavior among people who inject drugs on hepatitis C virus treatment in Tayside, Scotland","Article","2022","Malaguti, A., Byrne, C.J., Sani, F., Power, K., Eriksen, A., & Dillon, J.F. (2022) Drug network identification predicts injecting risk behavior among people who inject drugs on hepatitis C virus treatment in Tayside, Scotland, Behavioral Medicine, DOI: 10.1080/08964289.2022.2142501","https://www.researchgate.net/publication/365653702_Drug_network_identification_predicts_injecting_risk_behavior_among_people_who_inject_drugs_on_hepatitis_C_virus_treatment_in_Tayside_Scotland"
"Christopher Byrne","University of Dundee","Reaching people receiving opioid agonist therapy at community pharmacies with hepatitis C virus: an international randomised controlled trial. ","Article","2022","Byrne, C. J., Radley, A., Inglis, S. K., Beer, L., Palmer, N., Duc Pham, M., Allardice, K., Wang, H., Robinson, E., Hermansson, M., Semizarov, D., Healy, B., Doyle, J. S., & Dillon, J. F. (2022). Reaching people receiving opioid agonist therapy at community pharmacies with hepatitis C virus: an international randomised controlled trial. Alimentary pharmacology & therapeutics, 55(12), 1512-1523. https://doi.org/10.1111/apt.16953      https://pubmed.ncbi.nlm.nih.gov/35538396/","https://doi.org/10.1111/apt.16953"
"Christopher Byrne","University of Dundee","Real-world outcomes of rapid regional hepatitis C virus treatment scale-up among people who inject drugs in Tayside, Scotland","Article","2022","Byrne, C. J., Beer, L., Inglis, S. K., Robinson, E., Radley, A., Goldberg, D. J., Hickman, M., Hutchinson, S., & Dillon, J. F. (2022). Real-world outcomes of rapid regional hepatitis C virus treatment scale-up among people who inject drugs in Tayside, Scotland. Alimentary pharmacology & therapeutics, 55(5), 568-579. https://doi.org/10.1111/apt.16728        https://onlinelibrary.wiley.com/doi/epdf/10.1111/apt.16728","https://doi.org/10.1111/apt.16728"
"Christopher Byrne","University of Dundee","A mixed-methods evaluation of point-of-care hepatitis C virus RNA testing in a Scottish prison","Article","2023","Byrne, C.J., Malaguti, A., Inglis, S.K., et al. (2023). Mixed-methods evaluation of point-of-care hepatitis C virus RNA testing in a Scottish prison. BMJ Open, 13.","https://bmjopen.bmj.com/content/13/4/e068604"
"Christopher Byrne","University of Dundee","Laying the foundations for hepatitis C elimination: Evaluating the development and contribution of community care pathways to diagnostic efforts","Article","2023","Robinson, E., Byrne, C.J., Carberry, J. et al. (2023). Laying the foundations for hepatitis C elimination: evaluating the development and contribution of community care pathways to diagnostic efforts. BMC Public Health 23, 54. https://doi.org/10.1186/s12889-022-14911-1","https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-022-14911-1"
"Christopher Byrne","University of Dundee","Interventions for impact: Studies on improving care for people at risk of hepatitis c virus infection","PhD","2019-2022","https://discovery.dundee.ac.uk/en/studentTheses/interventions-for-impact","https://discovery.dundee.ac.uk/en/studentTheses/interventions-for-impact"
"Madeleine Caven","University of Dundee","Impact of Hepatitis C treatment on behavioural change in relation to drug use in people who inject drugs: A systematic review","Article","2019","Caven, M., Malaguti, A., Robinson, E., Fletcher, E., & Dillon, J. F. (2019). Impact of Hepatitis C treatment on behavioural change in relation to drug use in people who inject drugs: A systematic review. The International journal on drug policy, 72, 169-176. https://doi.org/10.1016/j.drugpo.2019.05.011","https://doi.org/10.1016/j.drugpo.2019.05.011"
"Madeleine Caven","University of Dundee","Hepatitis C diagnosis and treatment, impact on engagement and behaviour of people who inject drugs, a service evaluation, the hooked C project","Article","2020","Caven, M., Robinson, E. M., Eriksen, A. J., Fletcher, E. H., & Dillon, J. F. (2020). Hepatitis C diagnosis and treatment, impact on engagement and behaviour of people who inject drugs, a service evaluation, the hooked C project. Journal of Viral Hepatitis, 27(6), 576-584. https://doi.org/10.1111/jvh.13269","https://doi.org/10.1111/jvh.13269"
